CRN,Subj,Crse,Sec,Type,Title,Days,Time,Instructor,Location
380,AGRI,196,001,Seminar,Freshman Seminar 2.,T,10:05 am-11:25 am,Fernando   Altamura,RAYMND 2-045
442,AGRI,330,001,Lecture,Agricultural Legislation.,R,08:35 am-09:25 am,Mathieu   Leduc,RAYMND 4-045
272,AGRI,340,001,Lecture,Principles of Ecological Agriculture.,MW,01:05 pm-02:25 pm,Caroline B   Begg,RAYMND 3-048
273,AGRI,340,002,Conference,Principles of Ecological Agriculture.,M,03:35 pm-05:25 pm,Caroline B   Begg,RAYMND 3-048
9,AGRI,411,001,Conference,"Global Issues on Development, Food and Agriculture.",TR,02:35 pm-04:25 pm,Elsa   Vasseur,CENTEN 1-163
443,AGRI,430,001,Lecture,Professional Practice in Agrology.,WF,12:05 pm-12:55 pm,Julie   Major,RAYMND 4-046/048
1056,ANAT,212,001,Lecture,Molecular Mechanisms of Cell Function.,MWF,10:35 am-11:25 am,"Maria   Vera Ugalde , Marc Robert  Fabian , Robert Scott  Kiss , William Abraham  Pastor , Dieter   Reinhardt",STBIO S3/3
1057,ANAT,262,001,Lecture,Introductory Molecular and Cell Biology.,TR,04:05 pm-05:25 pm,"John   Presley , Susanne   Bechstedt , Khanh Huy   Bui , Ursula   Stochaj",SADB M-1
1058,ANAT,314,001,Lecture,Human Musculoskeletal Anatomy.,WF,03:35 pm-04:25 pm,Campbell   Rolian,SADB 2/36
1059,ANAT,314,002,Laboratory,Human Musculoskeletal Anatomy.,R,09:35 am-11:25 am,Campbell   Rolian,SADB 2/49
1060,ANAT,316,001,Lecture,Clinical Human Visceral Anatomy.,TR,08:35 am-09:25 am,"Mette Calve  Coleman , Mikaela Liis  Stiver",LEA 26
1061,ANAT,316,002,Laboratory,Clinical Human Visceral Anatomy.,T,10:35 am-12:25 pm,"Mette Calve  Coleman , Mikaela Liis  Stiver",SADB 2/49
1062,ANAT,316,003,Laboratory,Clinical Human Visceral Anatomy.,F,09:35 am-11:25 am,"Mette Calve  Coleman , Mikaela Liis  Stiver",SADB 2/49
1063,ANAT,322,001,Lecture,Neuroendocrinology.,TR,04:05 pm-05:25 pm,"Claire Dominique  Walker , Daniel   Bernard , Nicolas   Cermakian , Maia V  Kokoeva , Kai-Florian   Storch , Thomas   Stroh , Michael   Tamilia",SADB 2/36
1064,ANAT,322,002,Midterm Exam,Neuroendocrinology.,W,06:00 pm-08:00 pm,TBA,TBA
1066,ANAT,416,001,Lecture,"Development, Disease and Regeneration.",TR,11:35 am-12:55 pm,"Khanh Huy   Bui , Gregor   Andelfinger , Andrew   Bateman , Michel   Cayouette , Natasha   Chang , Frederic   Charron , Jun-Li   Liu , Luke   McCaffrey , Christian   Rocheleau , Peter Michael  Siegel , Hideto   Takahashi",SADB 1/12
1067,ANAT,458,001,Lecture,Membranes and Cellular Signaling.,MWF,08:35 am-09:25 am,"Maxime   Denis , Chantal   Autexier , Nathalie   Lamarche , Dieter   Reinhardt",MCMED 1034
1069,ANAT,514,001,Lecture,Advanced Human Anatomy Laboratory.,T,09:35 am-10:25 am,Gabriel   Venne,SADB M-48
1070,ANAT,514,002,Laboratory,Advanced Human Anatomy Laboratory.,MW,09:35 am-11:25 am,Gabriel   Venne,SADB 2/49
1071,ANAT,541,001,Lecture,Cell and Molecular Biology of Aging.,M,02:35 pm-05:25 pm,"Chantal   Autexier , Colin   Crist , Lisbet Agneta  Haglund , Stephanie   Lehoux , Francois   Mercier , Peter Michael  Siegel , Jeremy Michael  Van Raamsdonk , Maria   Vera Ugalde",SADB M-48
1072,ANAT,542,001,Lecture,Transmission Electron Microscopy of Biological Samples.,MW,01:35 pm-02:25 pm,"Natalie   Zeytuni , Khanh Huy   Bui , Joaquin   Ortega , Mike   Strauss",SADB M-48
1073,ANAT,542,002,Laboratory,Transmission Electron Microscopy of Biological Samples.,M,02:35 pm-05:25 pm,"Natalie   Zeytuni , Khanh Huy   Bui , Joaquin   Ortega , Mike   Strauss",SADB B/32
1074,ANAT,565,001,Lecture,Diseases-Membrane Trafficking.,F,02:35 pm-05:25 pm,"John   Presley , Nathalie   Lamarche , Stephane   Lefrancois , Tommy   Nilsson , Alexei   Pshezhetsky",ARTS 230
4988,ANAT,690D2,001,Lecture,Cell and Developmental Biology.,F,09:05 am-11:55 am,"Susanne   Bechstedt , Khanh Huy   Bui , Timothy E   Kennedy , John   Presley , Stefano   Stifani , Mike   Strauss",SADB M-48
99,ANSC,234,001,Lecture,Biochemistry 2.,WF,08:35 am-09:55 am,Werner   Giehl Glanzner,RAYMND 2-046
100,ANSC,234,002,Laboratory,Biochemistry 2.,W,02:35 pm-05:25 pm,Deborah   Martin,MACSTW B-031
101,ANSC,234,003,Laboratory,Biochemistry 2.,W,06:05 pm-08:55 pm,Deborah   Martin,MACSTW B-031
102,ANSC,251,001,Lecture,Comparative Anatomy.,M,02:35 pm-05:25 pm,Denyse   Laurin,BARTON 1-016
103,ANSC,251,002,Laboratory,Comparative Anatomy.,R,02:35 pm-05:25 pm,Denyse   Laurin,MACSTW B-063
104,ANSC,301,001,Lecture,Principles of Animal Breeding.,TR,08:35 am-09:55 am,Roger I   Cue,BARTON 1-016
105,ANSC,301,002,Laboratory,Principles of Animal Breeding.,T,11:35 am-01:25 pm,Roger I   Cue,RAYMND 3-045
107,ANSC,312,001,Lecture,Animal Health and Disease.,WF,10:05 am-11:25 am,"Vilceu   Bordignon , Naomi   Dicks",BARTON 1-015
187,ANSC,312,002,Conference,Animal Health and Disease.,T,03:05 pm-04:55 pm,"Vilceu   Bordignon , Naomi   Dicks",BARTON 1-015
418,ANSC,324,001,Lecture,Developmental Biology and Reproduction.,WF,11:35 am-12:55 pm,HernÃ¡n   Baldassarre,BARTON 1-015
419,ANSC,324,002,Laboratory,Developmental Biology and Reproduction.,F,01:05 pm-03:55 pm,HernÃ¡n   Baldassarre,MACSTW B-032
474,ANSC,350,001,Lecture,Food-Borne Pathogens.,MW,01:05 pm-02:25 pm,Jen   Ronholm,RAYMND 4-046/048
301,ANSC,400,001,Lecture,Eukaryotic Cells and Viruses.,TR,01:05 pm-02:25 pm,Alexander  Dr Bekele-Yitbarek,CENTEN 1-163
108,ANSC,424,001,Lecture,Metabolic Endocrinology.,TR,08:35 am-09:55 am,Raj   Duggavathi,RAYMND 2-046
109,ANSC,424,002,Laboratory,Metabolic Endocrinology.,W,02:35 pm-04:25 pm,Raj   Duggavathi,CENTEN 1-163
